SequenceId,Location,ConvId,NextId,CondBool,CondUnit,CondLeader,RequiredActors,ConvictionThreshold,Priority,SpecialAnimation,Interruption,StoryMoment,Speaker,Context,EN,Ori
|Act1|Act1Elite1Aniara2,1,1,2|10,,,,Aniara|Act1MiniBoss1,,0,,0,None,Act1MiniBoss1,,站住，旅人。你们必须缴纳贡金。,"Stop, travelers. You must pay your tribute."
|Act1|Act1Elite1Aniara2,1,10,3,,5,,Aniara|Act1MiniBoss1,,1,,0,None,Draco,,哦，他想要我们的金币。真是可笑，不是吗？,"Oh, he wants our gold. That's rich, isn't it?"
|Act1|Act1Elite1Aniara2,1,11,12,,5,,Aniara|Act1MiniBoss1,,1,,0,None,Draco,,<Cat>阿斯特会说这种话？我可不这么认为。,"<Cat>Aster would say that? I don't think so."
|Act1|Act1Elite1Aniara2,1,12,13,,,,Aniara|Act1MiniBoss1,,0,,0,None,Draco,,那你觉得这家伙是疯了吗？,"Do ya think this guy's off his rocker, then?"
|Act1|Act1Elite1Aniara2,1,13,14,,,,Aniara|Act1MiniBoss1,,0,,0,None,Aniara,,从他打算从我这儿弄到点什么的那一刻起，我就这么想了。,"I thought that as soon as he decided to try to get anything out of me."
|Act1|Act1Elite1Aniara2,1,14,15,,,,Aniara|Act1MiniBoss1,,0,,0,None,Draco,,嗯，既然他有很多金币，我们何不来赌一把？,"Well, if he's got a lot of gold, why don't we play a little wager?"
|Act1|Act1Elite1Aniara2,1,15,16,,,,Aniara|Act1MiniBoss1,,0,,0,None,Aniara,,唉，你知道杀了他们一样能拿到钱，对吧？,"Uffa, you know you can take their money by killing them too, si?"
|Act1|Act1Elite1Aniara2,1,16,17,,,,Aniara|Act1MiniBoss1,,0,,0,None,Draco,,那还有什么乐趣？,"Where's the fun in that?"
|Act1|Act1Elite1Aniara2,1,17,18,,,,Aniara|Act1MiniBoss1,,0,,0,None,Act1MiniBoss1,,我没在玩游戏，也不觉得有趣。别再胡闹了，照我说的做！,"I'm not playing games and I'm not having fun. Stop this buffoonery and do as I say!"
|Act1|Act1Elite1Aniara2,1,18,19,,,,Aniara|Act1MiniBoss1,,0,,0,None,Draco,,不。,"No."
|Act1|Act1Elite1Aniara2,1,19,20,,,,Aniara|Act1MiniBoss1,,0,,0.1,None,Aniara,,不。,"No."
|Act1|Act1Elite1Aniara2,1,2,3,,,,Aniara|Act1MiniBoss1,,0,,0,None,Aniara,,这话该<i>我</i>来说才对。,"That's what <i>I'm</i> supposed to be saying."
|Act1|Act1Elite1Aniara2,1,20,,,,,Aniara|Act1MiniBoss1,,0,,0,None,Act1MiniBoss1,,那我就取你们的性命！,"Then I shall take your lives instead!"
|Act1|Act1Elite1Aniara2,1,3,4,,,,Aniara|Act1MiniBoss1,,0,,0,None,Act1MiniBoss1,,现在不是开玩笑的时候。星辰要你们的金币，而且要<i>现在</i>就要。,"This is no time for jokes. The Star demands your gold and it demands it <i>now</i>."
|Act1|Act1Elite1Aniara2,1,4,5,,,,Aniara|Act1MiniBoss1,,0,,0,None,Aniara,,那你要它做什么？这整个集市不都归你掠夺了吗？,"And what do you need it for? Don't you have this whole market to plunder?"
|Act1|Act1Elite1Aniara2,1,5,6|11,,,,Aniara|Act1MiniBoss1,,0,,0,None,Act1MiniBoss1,,你没听见吗？星辰要它！如此它才会赐予我力量。,"Don't you listen? The Star demands it! For then it shall grant me power."
|Act1|Act1Elite1Aniara2,1,6,7,,,,Aniara|Act1MiniBoss1,,0,,0,None,Aniara,,亲爱的，要是钱能带来真正的力量，我早就去当银行家了。,"Amore mio, if money granted true power I would have been a banker."
